date,time,cash_value,stock_value,options_value
2024-01-02,13:00:00,2773.1,4386.85,3642.66
2024-01-02,14:00:00,2778.91,4395.77,3629.8
2024-01-02,15:00:00,2774.46,4381.71,3648.4
2024-01-02,16:00:00,2771.05,4399.69,3633.5
2024-01-02,17:00:00,2777.4,4379.04,3647.83
2024-01-02,18:00:00,2780.97,4357.45,3665.39
2024-01-02,19:00:00,2784.51,4343.49,3678.36
2024-01-02,20:00:00,2779.88,4326.13,3700.66
2024-01-02,21:00:00,2781.34,4322.78,3702.82
2024-01-02,22:00:00,2779.25,4333.61,3696.2
2024-01-02,23:00:00,2771.83,4324.36,3714.72
2024-01-03,00:00:00,2767.45,4324.78,3719.72
2024-01-03,01:00:00,2770.04,4342.02,3699.88
2024-01-03,02:00:00,2774.44,4344.79,3693.29
2024-01-03,03:00:00,2765.89,4332.67,3713.48
2024-01-03,04:00:00,2770.66,4337.15,3703.0
2024-01-03,05:00:00,2773.1,4336.47,3700.34
2024-01-03,06:00:00,2775.21,4346.94,3689.62
2024-01-03,07:00:00,2774.84,4365.26,3673.07
2024-01-03,08:00:00,2779.85,4379.25,3656.12
2024-01-03,09:00:00,2784.57,4357.81,3672.96
2024-01-03,10:00:00,2791.33,4342.37,3683.74
2024-01-03,11:00:00,2794.97,4327.41,3696.14
2024-01-03,12:00:00,2802.38,4336.84,3680.59
2024-01-03,13:00:00,2793.85,4350.07,3677.38
2024-01-03,14:00:00,2797.36,4362.03,3661.99
2024-01-03,15:00:00,2806.5,4341.67,3675.31
2024-01-03,16:00:00,2797.09,4357.16,3670.04
2024-01-03,17:00:00,2802.86,4342.42,3678.62
2024-01-03,18:00:00,2809.52,4333.93,3679.9
2024-01-03,19:00:00,2811.14,4329.97,3683.82
2024-01-03,20:00:00,2808.84,4329.53,3685.46
2024-01-03,21:00:00,2811.45,4328.96,3681.99
2024-01-03,22:00:00,2821.24,4340.61,3660.33
2024-01-03,23:00:00,2817.17,4347.97,3659.03
2024-01-04,00:00:00,2807.97,4355.58,3659.04
2024-01-04,01:00:00,2813.33,4357.16,3654.55
2024-01-04,02:00:00,2808.64,4336.93,3678.08
2024-01-04,03:00:00,2807.0,4329.0,3686.49
2024-01-04,04:00:00,2812.24,4332.7,3679.47
2024-01-04,05:00:00,2813.58,4340.62,3671.89
2024-01-04,06:00:00,2806.41,4345.3,3675.73
2024-01-04,07:00:00,2802.76,4349.62,3673.55
2024-01-04,08:00:00,2796.61,4347.96,3683.57
2024-01-04,09:00:00,2788.4,4368.82,3669.53
2024-01-04,10:00:00,2786.91,4363.16,3675.31
2024-01-04,11:00:00,2790.32,4343.58,3692.81
2024-01-04,12:00:00,2791.11,4332.05,3703.26
2024-01-04,13:00:00,2781.69,4341.46,3705.07
2024-01-04,14:00:00,2784.33,4337.3,3708.71
2024-01-04,15:00:00,2780.85,4336.73,3713.91
2024-01-04,16:00:00,2770.97,4338.07,3724.45
2024-01-04,17:00:00,2767.15,4336.93,3730.98
2024-01-04,18:00:00,2762.07,4333.87,3738.74
2024-01-04,19:00:00,2753.19,4333.14,3746.51
2024-01-04,20:00:00,2753.88,4340.2,3741.14
2024-01-04,21:00:00,2750.28,4336.88,3747.92
2024-01-04,22:00:00,2750.9,4353.13,3729.4
2024-01-04,23:00:00,2752.37,4340.67,3739.24
2024-01-05,00:00:00,2763.69,4345.76,3724.95
2024-01-05,01:00:00,2774.55,4334.16,3726.68
2024-01-05,02:00:00,2769.15,4339.95,3726.39
2024-01-05,03:00:00,2762.77,4353.37,3721.12
2024-01-05,04:00:00,2754.88,4351.44,3733.59
2024-01-05,05:00:00,2751.19,4339.28,3748.32
2024-01-05,06:00:00,2746.16,4341.64,3749.34
2024-01-05,07:00:00,2746.61,4355.67,3736.33
2024-01-05,08:00:00,2744.94,4342.14,3752.38
2024-01-05,09:00:00,2747.74,4356.07,3734.32
2024-01-05,10:00:00,2743.67,4335.4,3758.82
2024-01-05,11:00:00,2754.86,4335.83,3748.9
2024-01-05,12:00:00,2757.99,4348.21,3734.11
2024-01-05,13:00:00,2766.98,4366.67,3705.06
2024-01-05,14:00:00,2771.75,4362.99,3703.21
2024-01-05,15:00:00,2779.84,4368.76,3691.09
2024-01-05,16:00:00,2780.52,4355.87,3703.35
2024-01-05,17:00:00,2774.23,4341.1,3723.17
2024-01-05,18:00:00,2763.69,4347.12,3727.33
2024-01-05,19:00:00,2766.6,4348.8,3721.63
2024-01-05,20:00:00,2757.29,4367.9,3713.9
2024-01-05,21:00:00,2766.38,4368.43,3704.8
2024-01-05,22:00:00,2759.01,4380.06,3699.32
2024-01-05,23:00:00,2756.6,4377.43,3705.14
2024-01-06,00:00:00,2753.86,4376.14,3711.32
2024-01-06,01:00:00,2749.9,4381.46,3711.51
2024-01-06,02:00:00,2751.38,4391.49,3702.16
2024-01-06,03:00:00,2760.48,4400.6,3684.25
2024-01-06,04:00:00,2756.27,4391.95,3698.1
2024-01-06,05:00:00,2761.08,4372.1,3715.17
2024-01-06,06:00:00,2762.85,4377.28,3710.42
2024-01-06,07:00:00,2768.25,4375.12,3706.69
2024-01-06,08:00:00,2759.65,4358.69,3731.15
2024-01-06,09:00:00,2769.25,4380.05,3702.57
2024-01-06,10:00:00,2758.68,4383.49,3710.44
2024-01-06,11:00:00,2756.39,4366.41,3732.14
2024-01-06,12:00:00,2752.22,4350.46,3751.82
2024-01-06,13:00:00,2752.07,4356.36,3744.65
2024-01-06,14:00:00,2748.76,4346.09,3759.97
2024-01-06,15:00:00,2751.75,4347.98,3754.2
2024-01-06,16:00:00,2753.1,4349.9,3751.82
2024-01-06,17:00:00,2758.75,4344.01,3752.76
2024-01-06,18:00:00,2767.53,4350.84,3739.03
2024-01-06,19:00:00,2766.1,4358.49,3733.61
2024-01-06,20:00:00,2757.66,4374.65,3727.28
2024-01-06,21:00:00,2750.1,4358.69,3751.65
2024-01-06,22:00:00,2754.71,4375.61,3732.44
2024-01-06,23:00:00,2748.48,4354.65,3760.91
2024-01-07,00:00:00,2739.21,4361.99,3761.8
2024-01-07,01:00:00,2734.55,4351.32,3777.08
2024-01-07,02:00:00,2743.77,4345.49,3774.47
2024-01-07,03:00:00,2741.33,4346.09,3777.8
2024-01-07,04:00:00,2742.88,4345.64,3775.57
2024-01-07,05:00:00,2750.41,4344.85,3766.86
2024-01-07,06:00:00,2745.27,4344.62,3771.66
2024-01-07,07:00:00,2739.18,4362.15,3758.27
2024-01-07,08:00:00,2739.02,4358.5,3763.04
2024-01-07,09:00:00,2743.16,4357.7,3758.41
2024-01-07,10:00:00,2740.66,4354.91,3763.97
2024-01-07,11:00:00,2736.6,4346.87,3775.54
2024-01-07,12:00:00,2740.99,4343.73,3774.6
2024-01-07,13:00:00,2732.69,4343.18,3782.09
2024-01-07,14:00:00,2734.34,4342.41,3779.27
2024-01-07,15:00:00,2729.11,4357.84,3767.36
2024-01-07,16:00:00,2725.01,4353.53,3775.56
2024-01-07,17:00:00,2719.82,4341.67,3792.69
2024-01-07,18:00:00,2714.79,4342.36,3798.74
2024-01-07,19:00:00,2718.77,4341.87,3794.04
2024-01-07,20:00:00,2724.42,4356.9,3772.84
2024-01-07,21:00:00,2720.06,4361.23,3771.62
2024-01-07,22:00:00,2718.67,4358.51,3773.74
2024-01-07,23:00:00,2712.67,4340.64,3797.37
2024-01-08,00:00:00,2712.54,4340.06,3797.55
2024-01-08,01:00:00,2712.36,4339.77,3797.3
2024-01-08,02:00:00,2716.48,4339.4,3791.8
2024-01-08,03:00:00,2724.57,4343.56,3779.92
2024-01-08,04:00:00,2720.95,4338.96,3787.49
2024-01-08,05:00:00,2712.11,4357.36,3778.95
2024-01-08,06:00:00,2711.89,4371.06,3764.6
2024-01-08,07:00:00,2714.79,4386.57,3745.26
2024-01-08,08:00:00,2711.62,4400.46,3734.39
2024-01-08,09:00:00,2711.32,4419.16,3714.82
2024-01-08,10:00:00,2710.88,4408.39,3724.25
2024-01-08,11:00:00,2711.21,4386.54,3744.45
2024-01-08,12:00:00,2712.12,4376.68,3753.93
2024-01-08,13:00:00,2710.98,4365.07,3767.87
2024-01-08,14:00:00,2715.46,4371.01,3756.79
2024-01-08,15:00:00,2716.76,4385.7,3739.63
2024-01-08,16:00:00,2718.95,4373.99,3747.42
2024-01-08,17:00:00,2722.13,4364.31,3756.03
2024-01-08,18:00:00,2714.96,4375.75,3750.89
2024-01-08,19:00:00,2725.02,4379.64,3737.51
2024-01-08,20:00:00,2724.43,4379.07,3740.08
2024-01-08,21:00:00,2721.46,4395.74,3726.09
2024-01-08,22:00:00,2716.92,4381.51,3743.9
2024-01-08,23:00:00,2722.17,4398.84,3722.4
2024-01-09,00:00:00,2731.34,4384.18,3726.2
2024-01-09,01:00:00,2723.74,4364.56,3754.47
2024-01-09,02:00:00,2733.74,4344.38,3766.62
2024-01-09,03:00:00,2736.61,4340.9,3765.67
2024-01-09,04:00:00,2740.79,4346.73,3754.81
2024-01-09,05:00:00,2751.69,4337.43,3754.45
2024-01-09,06:00:00,2748.63,4336.96,3756.81
2024-01-09,07:00:00,2743.29,4340.22,3760.19
2024-01-09,08:00:00,2741.59,4337.35,3764.43
2024-01-09,09:00:00,2730.38,4336.59,3774.5
2024-01-09,10:00:00,2739.14,4336.82,3766.09
2024-01-09,11:00:00,2742.5,4342.32,3758.68
2024-01-09,12:00:00,2750.61,4340.19,3752.81
2024-01-09,13:00:00,2748.73,4348.42,3745.25
2024-01-09,14:00:00,2758.03,4366.04,3717.53
2024-01-09,15:00:00,2747.95,4362.31,3730.93
2024-01-09,16:00:00,2749.8,4370.26,3722.35
2024-01-09,17:00:00,2752.89,4375.16,3712.34
2024-01-09,18:00:00,2755.07,4391.78,3693.94
2024-01-09,19:00:00,2745.0,4407.97,3689.35
2024-01-09,20:00:00,2744.47,4397.36,3700.86
2024-01-09,21:00:00,2749.68,4386.87,3706.46
2024-01-09,22:00:00,2738.72,4380.25,3722.41
2024-01-09,23:00:00,2738.48,4389.47,3713.2
2024-01-10,00:00:00,2740.84,4373.42,3728.57
2024-01-10,01:00:00,2742.09,4374.77,3726.76
2024-01-10,02:00:00,2731.91,4367.88,3744.33
2024-01-10,03:00:00,2729.32,4375.25,3741.28
2024-01-10,04:00:00,2738.48,4370.1,3739.77
2024-01-10,05:00:00,2741.84,4368.04,3738.03
2024-01-10,06:00:00,2750.9,4387.82,3708.85
2024-01-10,07:00:00,2744.73,4391.32,3711.66
2024-01-10,08:00:00,2753.44,4394.23,3700.45
2024-01-10,09:00:00,2744.46,4377.38,3726.0
2024-01-10,10:00:00,2747.33,4376.58,3725.75
2024-01-10,11:00:00,2747.04,4389.9,3713.6
2024-01-10,12:00:00,2747.18,4381.75,3722.07
2024-01-10,13:00:00,2742.48,4364.73,3745.08
2024-01-10,14:00:00,2742.7,4346.83,3763.01
2024-01-10,15:00:00,2742.15,4356.48,3753.16
2024-01-10,16:00:00,2735.85,4370.28,3744.96
2024-01-10,17:00:00,2736.11,4364.63,3749.2
2024-01-10,18:00:00,2741.01,4366.11,3742.53
2024-01-10,19:00:00,2739.79,4376.17,3734.76
2024-01-10,20:00:00,2742.9,4382.64,3725.24
2024-01-10,21:00:00,2739.38,4384.46,3727.9
2024-01-10,22:00:00,2749.22,4395.75,3705.83
2024-01-10,23:00:00,2759.47,4414.75,3677.17
2024-01-11,00:00:00,2754.3,4419.6,3677.21
2024-01-11,01:00:00,2761.49,4425.22,3667.1
2024-01-11,02:00:00,2751.99,4414.97,3688.51
2024-01-11,03:00:00,2744.45,4418.66,3693.71
2024-01-11,04:00:00,2751.47,4403.7,3703.73
2024-01-11,05:00:00,2745.89,4425.3,3687.87
2024-01-11,06:00:00,2740.36,4435.38,3682.67
2024-01-11,07:00:00,2743.92,4449.75,3667.43
2024-01-11,08:00:00,2734.67,4469.74,3657.87
2024-01-11,09:00:00,2738.84,4456.77,3666.82
2024-01-11,10:00:00,2736.67,4454.65,3673.78
2024-01-11,11:00:00,2726.22,4443.31,3695.5
2024-01-11,12:00:00,2736.81,4425.35,3705.44
2024-01-11,13:00:00,2736.84,4433.73,3697.6
2024-01-11,14:00:00,2735.18,4438.2,3695.24
2024-01-11,15:00:00,2736.29,4424.3,3708.75
2024-01-11,16:00:00,2732.47,4440.22,3696.41
2024-01-11,17:00:00,2730.84,4437.96,3699.11
2024-01-11,18:00:00,2724.45,4453.75,3688.46
2024-01-11,19:00:00,2725.69,4462.69,3680.38
2024-01-11,20:00:00,2731.48,4472.48,3663.65
2024-01-11,21:00:00,2737.01,4488.08,3640.94
2024-01-11,22:00:00,2737.45,4493.57,3637.67
2024-01-11,23:00:00,2734.88,4492.89,3643.12
2024-01-12,00:00:00,2737.59,4509.05,3626.54
2024-01-12,01:00:00,2744.46,4492.02,3637.61
2024-01-12,02:00:00,2734.6,4474.73,3666.11
2024-01-12,03:00:00,2735.16,4466.91,3673.59
2024-01-12,04:00:00,2725.88,4468.77,3680.99
2024-01-12,05:00:00,2722.12,4479.59,3674.92
2024-01-12,06:00:00,2731.18,4492.17,3652.38
2024-01-12,07:00:00,2736.09,4488.34,3650.05
2024-01-12,08:00:00,2745.43,4493.2,3637.9
2024-01-12,09:00:00,2738.97,4499.63,3636.32
2024-01-12,10:00:00,2743.76,4505.24,3627.08
2024-01-12,11:00:00,2734.4,4489.18,3653.59
2024-01-12,12:00:00,2730.74,4494.9,3653.79
2024-01-12,13:00:00,2721.02,4498.45,3660.34
2024-01-12,14:00:00,2721.15,4502.36,3657.43
2024-01-12,15:00:00,2727.89,4524.35,3630.98
2024-01-12,16:00:00,2731.67,4510.89,3642.1
2024-01-12,17:00:00,2738.96,4514.05,3631.78
2024-01-12,18:00:00,2735.53,4504.69,3644.0
2024-01-12,19:00:00,2736.6,4498.94,3647.83
2024-01-12,20:00:00,2739.86,4496.85,3645.25
2024-01-12,21:00:00,2745.9,4488.07,3649.61
2024-01-12,22:00:00,2743.13,4491.62,3650.45
2024-01-12,23:00:00,2738.22,4493.03,3655.12
2024-01-13,00:00:00,2749.11,4492.07,3647.03
2024-01-13,01:00:00,2739.11,4494.39,3653.32
2024-01-13,02:00:00,2743.83,4489.78,3654.7
2024-01-13,03:00:00,2744.03,4483.95,3662.49
2024-01-13,04:00:00,2740.22,4500.28,3649.34
2024-01-13,05:00:00,2749.09,4493.42,3647.2
2024-01-13,06:00:00,2738.0,4478.03,3672.34
2024-01-13,07:00:00,2742.08,4473.54,3672.89
2024-01-13,08:00:00,2748.79,4489.16,3651.24
2024-01-13,09:00:00,2742.12,4501.78,3646.58
2024-01-13,10:00:00,2735.79,4487.8,3666.79
2024-01-13,11:00:00,2728.12,4497.49,3665.04
2024-01-13,12:00:00,2728.71,4482.06,3679.23
2024-01-13,13:00:00,2724.35,4490.59,3677.22
2024-01-13,14:00:00,2722.89,4474.27,3694.39
2024-01-13,15:00:00,2723.15,4477.57,3691.87
2024-01-13,16:00:00,2722.65,4465.6,3702.35
2024-01-13,17:00:00,2722.21,4463.27,3703.34
2024-01-13,18:00:00,2722.6,4477.7,3690.11
2024-01-13,19:00:00,2723.08,4461.0,3708.25
2024-01-13,20:00:00,2733.47,4459.57,3699.5
2024-01-13,21:00:00,2738.62,4474.09,3679.98
2024-01-13,22:00:00,2746.25,4485.19,3659.59
2024-01-13,23:00:00,2752.99,4479.85,3657.91
2024-01-14,00:00:00,2759.89,4460.65,3670.62
2024-01-14,01:00:00,2758.8,4450.83,3682.38
2024-01-14,02:00:00,2768.7,4457.56,3665.22
2024-01-14,03:00:00,2768.1,4465.27,3659.93
2024-01-14,04:00:00,2774.42,4470.43,3648.04
2024-01-14,05:00:00,2769.84,4448.39,3673.1
2024-01-14,06:00:00,2761.84,4436.51,3693.16
2024-01-14,07:00:00,2765.37,4450.15,3674.82
2024-01-14,08:00:00,2758.65,4454.91,3676.9
2024-01-14,09:00:00,2753.13,4474.98,3663.63
2024-01-14,10:00:00,2759.1,4487.5,3645.82
2024-01-14,11:00:00,2758.21,4484.2,3648.79
2024-01-14,12:00:00,2747.8,4463.66,3680.0
2024-01-14,13:00:00,2745.3,4463.73,3684.66
2024-01-14,14:00:00,2739.32,4455.93,3697.8
2024-01-14,15:00:00,2738.93,4438.4,3717.56
2024-01-14,16:00:00,2735.5,4434.68,3723.1
2024-01-14,17:00:00,2741.58,4417.39,3735.44
2024-01-14,18:00:00,2740.79,4404.43,3749.07
2024-01-14,19:00:00,2751.85,4406.52,3737.94
2024-01-14,20:00:00,2743.56,4422.99,3730.42
2024-01-14,21:00:00,2751.49,4412.77,3734.16
2024-01-14,22:00:00,2745.11,4403.66,3750.02
2024-01-14,23:00:00,2738.77,4409.06,3752.13
2024-01-15,00:00:00,2745.54,4400.23,3754.55
2024-01-15,01:00:00,2754.33,4396.2,3749.61
2024-01-15,02:00:00,2746.86,4376.36,3775.89
2024-01-15,03:00:00,2752.43,4365.7,3781.76
2024-01-15,04:00:00,2743.73,4360.14,3796.48
2024-01-15,05:00:00,2734.62,4359.95,3805.29
2024-01-15,06:00:00,2735.51,4370.99,3794.34
2024-01-15,07:00:00,2745.76,4383.28,3772.62
2024-01-15,08:00:00,2739.18,4388.24,3776.17
2024-01-15,09:00:00,2733.98,4392.36,3776.63
2024-01-15,10:00:00,2729.34,4394.39,3780.91
2024-01-15,11:00:00,2732.61,4390.75,3782.72
2024-01-15,12:00:00,2729.29,4408.54,3769.47
2024-01-15,13:00:00,2733.03,4429.89,3745.37
2024-01-15,14:00:00,2739.16,4437.14,3733.71
2024-01-15,15:00:00,2730.63,4457.02,3724.55
2024-01-15,16:00:00,2734.39,4445.35,3732.22
2024-01-15,17:00:00,2733.83,4446.66,3732.25
2024-01-15,18:00:00,2729.04,4436.71,3745.48
2024-01-15,19:00:00,2737.0,4426.34,3750.15
2024-01-15,20:00:00,2739.89,4415.52,3759.6
2024-01-15,21:00:00,2735.81,4435.2,3744.01
2024-01-15,22:00:00,2740.18,4418.52,3758.82
2024-01-15,23:00:00,2732.51,4418.37,3766.13
2024-01-16,00:00:00,2742.82,4429.17,3744.73
2024-01-16,01:00:00,2733.23,4414.08,3768.17
2024-01-16,02:00:00,2731.52,4421.54,3761.12
2024-01-16,03:00:00,2737.16,4428.55,3750.0
2024-01-16,04:00:00,2747.12,4435.67,3732.03
2024-01-16,05:00:00,2744.87,4427.59,3741.23
2024-01-16,06:00:00,2750.71,4405.57,3756.48
2024-01-16,07:00:00,2753.29,4404.76,3753.65
2024-01-16,08:00:00,2756.93,4387.93,3767.6
2024-01-16,09:00:00,2754.12,4387.68,3770.52
2024-01-16,10:00:00,2747.17,4376.31,3790.54
2024-01-16,11:00:00,2742.5,4366.38,3805.51
2024-01-16,12:00:00,2731.72,4368.48,3813.27
2024-01-16,13:00:00,2730.28,4365.47,3816.39
2024-01-16,14:00:00,2735.19,4365.02,3812.33
2024-01-16,15:00:00,2727.94,4364.71,3819.12
2024-01-16,16:00:00,2727.57,4365.91,3816.78
2024-01-16,17:00:00,2727.84,4367.0,3816.5
2024-01-16,18:00:00,2727.81,4364.5,3818.94
2024-01-16,19:00:00,2727.88,4364.6,3819.02
2024-01-16,20:00:00,2728.22,4377.63,3807.04
2024-01-16,21:00:00,2727.77,4380.82,3802.48
2024-01-16,22:00:00,2728.19,4388.75,3795.83
2024-01-16,23:00:00,2730.64,4397.46,3783.06
2024-01-17,00:00:00,2730.67,4376.13,3802.65
2024-01-17,01:00:00,2726.87,4364.58,3816.04
2024-01-17,02:00:00,2728.42,4363.21,3816.4
2024-01-17,03:00:00,2739.17,4376.28,3794.29
2024-01-17,04:00:00,2730.53,4375.86,3801.77
2024-01-17,05:00:00,2727.56,4380.28,3801.57
2024-01-17,06:00:00,2733.01,4383.38,3793.06
2024-01-17,07:00:00,2729.24,4373.92,3807.8
2024-01-17,08:00:00,2733.97,4380.93,3795.16
2024-01-17,09:00:00,2741.7,4397.56,3769.4
2024-01-17,10:00:00,2743.58,4386.13,3779.74
2024-01-17,11:00:00,2752.41,4381.89,3776.06
2024-01-17,12:00:00,2748.51,4368.97,3793.42
2024-01-17,13:00:00,2738.25,4386.31,3786.23
2024-01-17,14:00:00,2735.79,4381.6,3793.48
2024-01-17,15:00:00,2742.32,4376.35,3793.71
2024-01-17,16:00:00,2736.08,4372.97,3803.91
2024-01-17,17:00:00,2739.2,4375.6,3796.31
2024-01-17,18:00:00,2748.0,4381.61,3781.86
2024-01-17,19:00:00,2742.74,4376.77,3792.38
2024-01-17,20:00:00,2747.19,4374.12,3791.26
2024-01-17,21:00:00,2751.43,4371.16,3789.99
2024-01-17,22:00:00,2759.19,4376.57,3778.34
2024-01-17,23:00:00,2759.9,4388.73,3763.91
2024-01-18,00:00:00,2764.18,4403.98,3746.63
2024-01-18,01:00:00,2762.8,4399.55,3754.85
2024-01-18,02:00:00,2753.15,4378.22,3787.1
2024-01-18,03:00:00,2763.38,4366.87,3786.93
2024-01-18,04:00:00,2756.6,4366.4,3793.0
2024-01-18,05:00:00,2754.63,4365.76,3794.01
2024-01-18,06:00:00,2751.62,4366.87,3797.0
2024-01-18,07:00:00,2744.2,4388.98,3784.51
2024-01-18,08:00:00,2742.88,4405.4,3769.41
2024-01-18,09:00:00,2734.33,4393.58,3789.54
2024-01-18,10:00:00,2729.88,4380.29,3809.34
2024-01-18,11:00:00,2730.24,4399.77,3790.94
2024-01-18,12:00:00,2730.41,4385.81,3805.43
2024-01-18,13:00:00,2731.88,4395.47,3795.48
2024-01-18,14:00:00,2738.56,4395.9,3788.28
2024-01-18,15:00:00,2731.61,4379.9,3809.65
2024-01-18,16:00:00,2730.62,4368.99,3822.85
2024-01-18,17:00:00,2730.33,4368.53,3822.46
2024-01-18,18:00:00,2734.88,4387.21,3799.96
2024-01-18,19:00:00,2735.83,4399.05,3785.72
2024-01-18,20:00:00,2732.62,4415.57,3771.04
2024-01-18,21:00:00,2737.27,4416.61,3764.37
2024-01-18,22:00:00,2741.69,4428.39,3750.04
2024-01-18,23:00:00,2735.27,4449.46,3737.89
2024-01-19,00:00:00,2731.01,4438.61,3754.42
2024-01-19,01:00:00,2738.8,4446.09,3740.76
2024-01-19,02:00:00,2743.98,4446.67,3735.8
2024-01-19,03:00:00,2750.49,4432.49,3743.36
2024-01-19,04:00:00,2747.08,4447.36,3734.51
2024-01-19,05:00:00,2744.31,4438.24,3748.44
2024-01-19,06:00:00,2750.21,4439.99,3742.33
2024-01-19,07:00:00,2750.9,4461.86,3721.67
2024-01-19,08:00:00,2740.26,4451.9,3741.65
2024-01-19,09:00:00,2749.57,4446.6,3740.24
2024-01-19,10:00:00,2742.52,4449.42,3746.95
2024-01-19,11:00:00,2750.12,4430.34,3759.25
2024-01-19,12:00:00,2752.97,4434.25,3754.7
2024-01-19,13:00:00,2759.94,4427.32,3754.03
2024-01-19,14:00:00,2754.65,4409.83,3775.45
2024-01-19,15:00:00,2761.06,4417.73,3763.58
2024-01-19,16:00:00,2760.29,4396.52,3785.8
2024-01-19,17:00:00,2767.02,4414.64,3761.04
2024-01-19,18:00:00,2763.94,4425.03,3754.11
2024-01-19,19:00:00,2772.84,4437.24,3731.5
2024-01-19,20:00:00,2765.91,4451.69,3725.97
2024-01-19,21:00:00,2769.78,4451.83,3722.13
2024-01-19,22:00:00,2762.12,4463.94,3718.38
2024-01-19,23:00:00,2762.77,4471.83,3710.63
2024-01-20,00:00:00,2765.8,4473.67,3705.85
2024-01-20,01:00:00,2776.8,4469.57,3700.59
2024-01-20,02:00:00,2770.32,4457.55,3718.08
2024-01-20,03:00:00,2780.14,4467.75,3697.17
2024-01-20,04:00:00,2783.05,4462.1,3699.88
2024-01-20,05:00:00,2786.65,4445.59,3714.32
2024-01-20,06:00:00,2789.43,4435.25,3723.56
2024-01-20,07:00:00,2778.65,4414.0,3755.41
2024-01-20,08:00:00,2767.83,4427.22,3752.18
2024-01-20,09:00:00,2773.76,4441.4,3733.65
2024-01-20,10:00:00,2777.99,4429.43,3742.06
2024-01-20,11:00:00,2771.45,4448.43,3730.25
2024-01-20,12:00:00,2776.46,4453.46,3718.41
2024-01-20,13:00:00,2772.62,4453.32,3720.8
2024-01-20,14:00:00,2765.84,4459.23,3722.87
2024-01-20,15:00:00,2758.59,4463.83,3723.97
2024-01-20,16:00:00,2762.33,4465.25,3718.32
2024-01-20,17:00:00,2769.36,4445.05,3732.82
2024-01-20,18:00:00,2758.55,4433.1,3754.38
2024-01-20,19:00:00,2754.74,4430.92,3762.64
2024-01-20,20:00:00,2746.74,4450.43,3751.44
2024-01-20,21:00:00,2749.56,4445.0,3753.69
2024-01-20,22:00:00,2743.18,4425.07,3780.81
2024-01-20,23:00:00,2748.39,4408.84,3790.84
2024-01-21,00:00:00,2740.62,4403.54,3803.06
2024-01-21,01:00:00,2747.11,4387.48,3813.56
2024-01-21,02:00:00,2747.66,4407.89,3791.9
2024-01-21,03:00:00,2742.92,4402.84,3802.5
2024-01-21,04:00:00,2737.28,4412.98,3798.88
2024-01-21,05:00:00,2737.24,4419.52,3792.22
2024-01-21,06:00:00,2737.61,4403.98,3808.83
2024-01-21,07:00:00,2738.09,4393.01,3821.25
2024-01-21,08:00:00,2737.7,4388.82,3824.28
2024-01-21,09:00:00,2743.16,4385.04,3822.77
2024-01-21,10:00:00,2743.37,4394.06,3814.6
2024-01-21,11:00:00,2746.57,4393.05,3812.55
2024-01-21,12:00:00,2754.44,4397.38,3799.38
2024-01-21,13:00:00,2755.72,4404.82,3789.36
2024-01-21,14:00:00,2765.76,4409.16,3776.28
2024-01-21,15:00:00,2763.84,4424.79,3763.06
2024-01-21,16:00:00,2772.73,4413.86,3766.12
2024-01-21,17:00:00,2772.38,4417.17,3762.8
